"","DN","alle Materialien","<>Beton","<>Beton/2","=Beton","=Beton/2"
"1",100,60,300,150,150,75
"2",150,90,450,225,240,120
"3",200,120,540,270,270,135
"4",250,150,600,300,300,150
"5",300,180,660,330,330,165
"6",350,210,750,375,360,180
"7",400,240,840,420,420,210
"8",450,270,900,450,450,225
"9",500,300,1050,525,540,270
"10",600,360,1200,600,600,300
"11",700,420,1320,660,660,330
"12",800,480,1500,750,750,375
"13",900,540,1800,900,900,450
"14",1000,600,2100,1050,1050,525
"15",1100,660,3120,1560,1560,780
"16",1200,720,3420,1710,1680,840
"17",1300,780,3900,1950,1920,960
"18",1400,840,4080,2040,2040,1020
"19",1500,900,4200,2100,2100,1050
"20",1600,960,4500,2250,2220,1110
"21",1700,1020,4620,2310,2280,1140
"22",1800,1080,4920,2460,2460,1230
"23",1900,1140,5220,2610,2580,1290
"24",2000,1200,5700,2850,2820,1410
"25",2200,1320,6300,3150,3120,1560
"26",2500,1500,7200,3600,3600,1800
